abandon 51.2
frame 9.8.a#9.8.b#9.9.ii#47.8.d
fraternize 45.4.a
fray 45.4.a#45.4.b#45.4.c
free 10.6.a
freeze 26.5.a.i#26.5.a.ii#26.5.b#45.4.a#45.4.b#45.4.c
freight 11.1
french_fry 45.3.a#45.3.b#45.3.c
frequent 47.8.c
freshen 45.4.a#45.4.b#45.4.c
fret 31.3.a.ii#31.3.h
frighten 31.1.a#31.1.b#31.1.c
fringe 9.8.b
frisk 35.4
fritter 23.2.b
frolic 51.3.2.a.i#51.3.2.a.ii
frost 45.4.a#45.4.b#45.4.c
froth 47.2.a.i#47.2.c
frown 40.2.b
fructify 45.4.a#45.4.b#45.4.c
frustrate 31.1.a#31.1.b#31.1.c
fry 26.3#26.3#45.3.a#45.3.b#45.3.c
fuel 9.9.ii
fulfil 13.4.1.b
fulfill 13.4.1.b#51.7.i#51.7.ii
fumble 35.5#35.5
fume 31.3.b#31.3.h
fumigate 45.4.a
function 29.6.b
fund 13.4.2
funnel 9.3.a
furnish 13.4.1.a#13.4.1.b
furrow 45.2.a
fuse 22.1.a#22.1.b#22.3.c.ii#22.3.d.ii#45.4.a#45.4.b#45.4.c
gab 37.6.b
gabble 37.3.a#37.3.a#37.3.b#37.3.c
gag 9.9.ii
gain 13.5.1.a#13.5.1.a#45.6
gall 31.1.a#31.1.b
gallop 51.3.2.a.i#51.3.2.a.ii#51.3.2.b.i#51.3.2.b.ii
galvanize 31.1.a#31.1.b
gamble 008
gambol 51.3.2.a.i#51.3.2.a.ii
gape 30.3.a#30.3.b#40.2.b
garage 9.10
garb 41.3.3
gargle 41.2.1
garland 9.8.a#9.8.b#9.8.d#9.9.ii
dissimulate 16
garner 15.2.b
garnish 9.8.a#9.8.b
garrotte 42.2
gash 21.2.a#21.2.b
gasify 45.4.a#45.4.b#45.4.c
gasp 40.2.b
gather 13.5.1.a#13.5.1.a#22.3.a.i#22.3.a.ii#22.3.d.ii#47.5.2
gauge 54.4
gawk 30.3.a#30.3.b#40.2.b
gaze 30.3.a#30.3.b
gelatinize 45.4.a#45.4.b#45.4.c
generalize 31.3.a.i
generate 27
genuflect 40.3.3.a
germanize 45.4.a
germinate 45.5#47.2.a.ii
gesticulate 36.1.c#36.1.d
gesture 40.3.1.i
get 13.5.1.a#13.5.1.a
gibber 37.3.a#37.3.a#37.3.b#37.3.c
gibe 33.b
giggle 40.2.b
gild 25.3
gill 10.7
gird 22.3.c.ii
give 13.1.a.ii#13.1.a.ii
gladden 31.1.a#31.1.b#31.1.c#31.3.b#45.4.a#45.4.b#45.4.c
glance 30.3.a#30.3.b
glare 30.3.a#30.3.b#40.2.b#43.1.a#43.1.b
glaze 24
gleam 43.1.a#43.1.b
glean 14.a
glide 51.3.1.a.i#51.3.1.a.ii#51.3.2.a.i#51.3.2.a.ii#51.3.2.b.i#51.3.2.b.ii
glimmer 43.1.a#43.1.b
glimpse 30.2.a.i#30.2.a.ii#30.2.c
glint 43.1.a#43.1.b
glisten 43.1.a#43.1.b
glitter 43.1.a#43.1.b
gloat 31.3.h
glom 22.3.a.ii#22.3.d.ii
glorify 33.a.i
glory 31.3.e
glove 9.9.ii
glow 43.1.a#43.1.b
glower 40.2.b
glue 22.4.a#22.4.b
glutenize 45.4.a#45.4.b#45.4.c
gnash 40.3.2
gnaw 39.2.a#39.2.b#39.2.c
go 47.7.a#47.7.b#51.1.a
gobble 38#39.3.a.i#39.3.b
goggle 30.3.a#30.3.b#40.2.b
gondola 51.4.1.a#51.4.1.b
goosestep 51.3.2.a.i#51.3.2.a.ii
gore 43.1.a
gorge 39.6.a
gossip 37.6.b
gouge 21.2.a#21.2.b#21.2.c
govern 29.2.d
grab 10.5#13.5.2.a
grace 9.8.b
gradate 45.4.a
grade 29.2.c
graffiti 9.9.ii
graft 22.3.c.ii#22.3.d.ii
grant 13.3#13.3#29.5.d#29.5.e
granulate 45.4.a#45.4.b#45.4.c
grasp 15.1.a#15.1.b
grate 21.2.a#21.2.b#21.2.c#31.4.b
gratify 31.1.a#31.1.b
gravel 9.9.ii
gray 45.4.a#45.4.b#45.4.c
graze 20.a#39.5.a#39.5.b
grease 9.9.i#9.9.ii#9.9.ii
green 45.4.a#45.4.b#45.4.c
greet 33.a.i
grieve 31.1.a#31.1.b#31.1.c#31.3.c#31.3.h
grill 26.3#26.3#45.3.a#45.3.b#45.3.c
grimace 40.2.b
grin 40.2.b
grind 21.2.a#21.2.b#21.2.c#26.1.a#26.1.a#26.1.b#40.3.2
grip 15.1.a#15.1.b
gripe 37.8.a#37.8.b#37.8.b#37.8.c
groan 37.3.a#37.3.a#37.3.b#37.3.c#40.2.b#43.2.a#43.2.b#43.2.c
groom 41.1.2
groove 9.9.ii#31.3.g
grope 35.5#35.5
grouch 37.8.a#37.8.b#37.8.b#37.8.c
ground 9.10
group 22.3.a.i#22.3.a.ii#22.3.d.ii#47.5.2
grouse 13.7#37.8.b#37.8.b
grovel 31.3.a.i
grow 26.1.a#26.1.a#26.1.b#26.2.a.i#26.2.a.ii#26.2.b#45.4.a#45.4.b#45.4.c#45.6#47.2.a.i#48.1.1.a
growl 37.3.a#37.3.a#37.3.b#37.3.c#38#40.2.b#43.2.a#43.2.b
grudge 31.2.a
grumble 37.3.a#37.3.a#37.3.b#37.3.c#37.8.a#37.8.b#37.8.b#37.8.c
grunt 37.3.a#37.3.a#37.3.b#37.3.c#38
guarantee 005#13.3#13.3#29.5.d#29.5.e
guard 021
guarantee 37.9.a
guard 29.8.a#29.8.b
guess 29.5.d#29.5.e
guffaw 40.2.b
guide 51.7.i#51.7.ii
gull 10.6.a
gulp 39.3.a.i#39.3.b
gum 22.4.a#22.4.b
gurgle 43.2.a#43.2.b#43.2.c
gush 31.3.h#43.4.a#43.4.b#43.4.c#43.4.d#48.1.1.a
gust 57.b
gut 10.7
guzzle 39.3.a.i#39.3.b
gyrate 47.3.b#49.a.i#49.a.ii#49.b
habituate 31.3.i
hack 21.1.b#21.1.c#21.1.d#21.1.e#23.2.a#23.2.b#26.1.a#26.1.a#26.1.b
haggle 36.1.c#36.1.d
hail 29.2.c#29.2.d#33.a.i#57.a
hallucinate 31.3.a.i
halt 45.4.a#45.4.b#45.4.c#55.1.a#55.1.b
halter 9.9.ii
hammer 9.3.b#18.1.a#18.1.b#18.1.c#18.1.d#18.1.e#26.1.a#26.1.a#26.1.b
hand 11.1#11.1
handcuff 22.4.a#22.4.b
handfeed 39.7#39.7
handle 15.1.a#15.1.b
hang 9.2.i#9.2.ii#9.7.a#9.7.d#40.3.2#42.2#47.6.a
hanker 32.2.a
hangar 9.10
hanker 32.2.b
happen 55.1.c
harass 31.1.a#31.1.b
harbor 16
hardboil 26.3#26.3#45.3.a#45.3.b#45.3.c
harden 45.4.a#45.4.b#45.4.c
harm 31.1.a
harmonize 22.2.a#22.2.c#45.4.a#45.4.b#45.4.c
harness 9.9.ii#22.4.a#22.4.b
harvest 10.1
hasten 45.4.a#45.4.b#45.4.c#51.3.2.a.i#51.3.2.a.ii#53.2.a.i#53.2.a.ii#53.2.b#53.2.c
hatch 26.1.a#26.1.a#26.1.b#26.2.a.ii#26.2.b
hate 31.2.a#31.2.b#31.2.c#31.2.d#31.2.e#31.2.f
haul 11.4.i#11.4.ii#11.4.ii
haunt 31.1.a#31.1.b
have 47.8.c#058
hay 13.7
hazard 008
head 10.7#47.8.k#51.1.a
heal 45.4.a#45.4.b#45.4.c
heap 9.7.a#9.7.d
hear 30.1.a.i#30.1.b#30.1.c#30.1.d#30.1.e#30.1.f
hearten 31.1.a#31.1.b#31.1.c
heat 45.3.a#45.3.b#45.3.c#45.4.a#45.4.b#45.4.c
heave 11.4.i#11.4.ii#11.4.ii#12.a.i#12.a.ii#12.b
hebraize 45.4.a
hee-haw 38
heed 30.1.a.ii
heel 9.9.ii
heft 11.4.i#11.4.ii#11.4.ii
heighten 45.4.a#45.4.b#45.4.c
helicopter 51.4.1.a#51.4.1.b
hellenize 45.4.a
help 13.4.2
hem 22.3.c.ii
henna 41.2.2
herald 29.2.a#29.2.c#29.2.d
herd 22.3.a.i#22.3.a.ii#22.3.d.ii#47.5.2
hesitate 53.1
hew 21.1.b#21.1.c#21.1.d#21.1.e#23.2.a#23.2.b
hibernate 45.4.c
hiccup 40.1.1
hide 16
highlight 45.4.a
hijack 10.5
hike 51.3.2.a.i#51.3.2.a.ii
hinder 53.2.b
hinge 22.4.a#22.4.b
hire 13.5.1.a#13.5.1.a#29.2.c#29.2.d
hiss 37.3.a#37.3.a#37.3.b#37.3.c#38#43.2.a#43.2.b#43.2.c
hit 17.1#17.1#18.1.a#18.1.b#18.1.c#18.1.d#18.1.e#18.4.a#47.8.f
hitch 22.4.a#22.4.b
hoard 15.2.b
hobble 51.3.2.a.i#51.3.2.a.ii
hobnob 36.1.c#36.1.d
hock 13.1.b.ii
hoe 9.3.a
hoist 9.4.a#11.4.i#11.4.ii#11.4.ii
hold 15.1.a#15.1.b#29.5.a#29.5.b#54.3.a#54.3.b
holiday 56.b
holler 37.3.a#37.3.a#37.3.b#37.3.c
honeymoon 56.b
honk 38
honor 29.2.a#29.2.b#29.2.c#29.2.d#33.a.i
hook 22.4.a#22.4.b
hoot 37.3.a#37.3.a#37.3.b#37.3.c#38#43.2.a#43.2.b
hoover 10.4.2.a#10.4.2.b
hop 47.5.1.a#47.5.1.b#47.5.1.c#51.3.2.a.i#51.3.2.a.ii
hope 005#32.2.b
hopple 51.3.2.a.i#51.3.2.a.ii
horrify 31.1.a#31.1.b
hose 10.4.2.a#10.4.2.b
hospitalize 45.4.a
host 29.8.a#29.8.b
house 9.10#54.3.a#54.3.b
hover 47.3.a#47.6.a#47.6.b
howl 37.3.a#37.3.a#37.3.b#37.3.c#38#40.2.b#43.2.a#43.2.b#43.2.c#57.b
huddle 47.5.2
hug 36.2.a.i#36.2.b.i#47.8.a#47.8.d
hull 10.7
hum 26.7.i#26.7.ii#26.7.ii#40.8.2#43.2.a#43.2.b#43.2.c
humble 31.1.a#31.1.b#31.1.c
humidify 45.4.a#45.4.b#45.4.c
humiliate 31.1.a#31.1.b
hunch 40.3.2
hunger 31.3.h#32.2.b
hunt 35.1.a#35.1.b#35.1.b#35.1.c
hurl 17.1#17.1
hurry 51.3.2.a.i#51.3.2.a.ii#51.3.2.b.i#51.3.2.b.ii#53.2.a.i#53.2.a.ii#53.2.b#53.2.c
hurt 31.1.a#31.1.b#31.1.c#31.3.d#40.8.1#40.8.3
hurtle 51.3.2.a.i#51.3.2.a.ii#51.3.2.b.i#51.3.2.b.ii
hush 45.4.a#45.4.b#45.4.c
husk 10.7
hybridize 45.4.a#45.4.b#45.4.c
hydrogenate 45.4.a
hypnotize 31.1.a#31.1.b#31.1.c
identify 29.2.c#29.2.d
idle 53.1
idolize 31.2.a#31.2.b#31.2.g
ignite 45.4.a#45.4.b#45.4.c
ignore 29.2.c
ill-use 29.2.c
illuminate 25.3
illustrate 25.3
imagine 29.1.a#29.1.a#29.1.b#29.1.d#29.2.a#29.2.b#29.2.c#29.2.d
imbibe 39.4
imbue 9.8.a#9.8.b
imitate 25.4
immerse 9.1
immobilize 45.4.a
immolate 42.1.c
immunize 45.4.a
impair 31.1.a
impale 19.a.i
impart 37.1.b
impeach 33.b
impede 059
impel 002
imperil 31.1.a
implant 9.1
implement 26.4#49.b
implicate 31.2.b
implore 002
imply 29.4.d
import 11.3
importune 31.2.a
impose 008
impound 10.5
impoverish 45.4.a
imprecate 33.b
impregnate 9.8.a#9.8.b
impress 31.1.a#31.1.b
imprint 25.1.a#25.1.b
imprison 9.10
improve 45.4.a#45.4.b#45.4.c
opt 29.2.a
improvise 26.7.ii
impute 13.3
inaugurate 45.4.a
incandesce 43.1.a#43.1.b
incapacitate 45.4.a
incense 31.1.a#31.1.b
inch 51.3.2.a.i#51.3.2.a.ii
incinerate 45.4.a
incise 25.1.a#25.1.b
incite 002
include 024#47.8.b
inconvenience 31.1.a
incorporate 22.2.a#22.2.c#29.2.c#29.2.d
increase 45.4.a#45.4.b#45.4.c#45.6
incriminate 33.b
incubate 45.4.a#45.4.b#45.4.c
incur 13.5.2.a
indent 25.1.a
index 45.4.a
indicate 37.7.a
indict 33.b
individualize 45.4.a
induce 002#26.4
induct 29.2.c#29.2.d
indulge 31.2.b
industrialize 45.4.a
inebriate 45.4.a
infatuate 31.1.a
infect 9.8.a
infer 10.1
infect 9.8.b
infest 51.1.g
infiltrate 45.4.a
inflame 31.1.a
inflate 45.4.a#45.4.b#45.4.c
inflict 008
influence 002#31.1.a
inform 37.9.a#37.9.c
infuriate 31.1.a#31.1.b
ingest 39.4
inhabit 46.a
inhale 40.1.3.b
inherit 13.5.2.c
initial 25.3
initiate 55.2.c
inject 9.7.a#9.7.d
injure 40.8.3
ink 9.9.ii#25.2
inlay 9.8.a#9.8.b
innervate 31.1.a
innoculate 45.4.a
innovate 26.6
inquire 32.2.a
inoculate 10.6.a
inquire 14.b
inscribe 25.1.a#25.1.b
insert 9.1
insinuate 37.7.a
insist 37.7.a
inspect 30.2.a.i#30.2.a.ii#35.4
inspire 31.1.a#31.1.b
install 9.1
instigate 31.1.a
institute 29.2.c
instruct 37.9.a#37.9.b#37.9.c
insult 31.1.a#31.1.b
insure 021
insult 33.b
insure 37.9.b
integrate 22.2.a#22.2.c
intellectualize 45.4.a
intend 005#29.2.a#29.2.b#29.2.c#29.2.d
intensify 45.4.a#45.4.b#45.4.c
interact 36.1.c
interblend 36.1.c
intercede 36.1.c#36.1.d
interchange 22.2.a#22.2.c
interconnect 22.2.a#22.2.c
interest 31.1.a#31.1.b
interfere 36.1.c#36.1.d
interlace 9.8.a#9.8.b#22.2.a#22.2.c
interlard 9.8.a#9.8.b
interleave 9.8.a#9.8.b
interlink 22.2.a#22.2.c
interlock 22.2.a#22.2.c
intermingle 22.2.a#22.2.c
intermix 36.1.c
interpolate 54.4
interpret 29.2.b#29.2.c#29.2.d
interrelate 22.2.a#22.2.c
interrogate 33.b
interrupt 55.1.a#55.1.b
intersect 47.8.a#47.8.f
intersperse 9.8.a#9.8.b#22.2.a#22.2.c
intertwine 22.2.a#22.2.c
intervene 36.1.c#36.1.d
interview 33.a.i
interweave 9.8.a#9.8.b#22.2.a#22.2.c
intimate 37.7.a
intimidate 31.1.a#31.1.b#31.1.c
intone 26.7.i#26.7.ii#26.7.ii
intoxicate 31.1.a#31.1.b#31.1.c
intrigue 31.1.a#31.1.b#31.1.c
introduce 22.2.b
intrude 48.1.2
inundate 9.8.a#9.8.b
invade 51.1.g
invalidate 10.6.a
invent 26.4
invert 45.4.a
invest 13.4.2
investigate 30.2.a.i#30.2.a.ii#30.2.c#35.4
invigorate 31.1.a#31.1.b#31.1.c
invite 37.1.b
invoice 54.5.a
invoke 31.2.b
involve 31.2.b
iodize 45.4.a#45.4.b#45.4.c
ionize 45.4.a#45.4.b#45.4.c
irk 31.1.a#31.1.b#31.1.c
iron 10.4.2.a#10.4.2.b#26.3#26.3
irrigate 45.4.a
irritate 31.1.a#31.1.b#31.1.c
isolate 16
issue 13.3#13.3#13.4.1.a#13.4.1.b#48.1.1.a
itch 32.2.b#40.8.1
itemize 54.4
jab 19.a.i#19.b#19.c.i#19.d
jabber 37.3.a#37.3.a#37.3.b#37.3.c
jade 31.1.a
jail 9.10
jam 9.7.a#9.7.d
jangle 43.2.a#43.2.b#43.2.d
japan 24
jar 9.10#31.1.a#31.1.b#31.1.c#31.4.b
jeep 51.4.1.a#51.4.1.b
jeer 40.2.b
jerk 12.a.i#12.a.ii#12.b
jest 36.1.c#36.1.d
jet 51.4.1.a#51.4.1.b
jig 51.5.a.i#51.5.a.ii#51.5.b
jiggle 47.3.a#47.3.b
jingle 43.2.a#43.2.b#43.2.d
jitterbug 51.5.a.i#51.5.a.ii#51.5.b
jive 51.5.a.i#51.5.a.ii#51.5.b
jog 51.3.2.a.i#51.3.2.a.ii
joggle 47.3.a#47.3.b
join 22.1.a#22.1.b#22.1.d
joke 36.1.c#36.1.d
jollify 31.1.a#31.1.b#31.1.c
jolt 31.1.a#31.1.b#31.1.c
jostle 12.a.i
journey 51.3.2.a.i#51.3.2.a.ii
joust 36.1.c#36.1.d
judge 29.4.e#29.4.f#29.4.g
jug 9.10
juggle 36.1.c#36.1.d
jumble 22.3.a.ii#22.3.d.ii
jump 45.6#51.3.2.a.i#51.3.2.a.ii#51.3.2.b.i#51.3.2.b.ii#51.3.2.c
justify 37.1.b
jut 47.6.a
juxtapose 9.1
k.o. 18.3
kayak 51.4.1.a#51.4.1.b
keep 13.5.1.a#13.5.1.a#15.2.b#023#55.1.a#55.1.b#059
kennel 9.10
kick 11.4.i#11.4.ii#11.4.ii#17.1#17.1#18.1.a#18.1.b#18.1.c#18.1.d#18.1.e#23.2.a#23.2.b#49.a.i#49.a.ii#49.b
kidnap 10.5
kill 42.1.a#42.1.b
kindle 45.4.a#45.4.b#45.4.c
kipper 45.4.a
kiss 20.a#36.2.a.i#36.2.b.i
kitten 28
knead 26.5.a.i#26.5.b
kneel 40.3.3.a#47.6.a
knell 43.2.a#43.2.b
knife 18.3#42.2
knight 29.7
knit 26.1.a#26.1.a#26.1.b#40.3.2
knock 17.1#17.1#18.1.a#18.1.b#18.1.c#18.1.d#18.1.e#18.4.a#18.4.b#23.2.a#23.2.b#43.2.a#43.2.b
knock_out 18.3
knot 22.4.a#22.4.b
know 005#29.5.a#29.5.b#29.5.c
kvetch 37.8.b#37.8.b
label 9.9.ii#25.3#29.3
lace 22.4.a#22.4.b
lacerate 45.1.a
lack 31.2.a
lacquer 24
ladle 9.3.a
lamb 28
lambaste 33.b
lament 31.2.a#31.2.b#31.2.c#31.2.d#31.2.e#31.2.f
laminate 45.4.a
lampoon 29.2.c#29.2.d
lance 21.2.a
land 9.10
languish 47.1
lap 007
lapse 48.2
lard 9.8.a#9.8.b
lash 9.8.a#9.8.b#18.1.a#18.1.b#18.1.c#18.1.d#18.1.e#22.4.a#22.4.b
lasso 22.4.a#22.4.b
last 54.2
latch 22.4.a#22.4.b
lathe 10.4.2.a
lather 41.2.2
laud 33.a.i
laugh 40.2.b
launch 55.2.c
lay 9.2.i#9.2.ii
lay_in 13.5.1.b.ii
leach 10.4.1.a#10.4.1.b.i#10.4.1.b.ii
lead 47.7.b#51.7.i#51.7.ii
leaf 35.5#35.5
leak 43.4.a#43.4.c#43.4.d
lean 9.2.i#9.2.ii#47.6.a
leap 51.3.2.a.i#51.3.2.a.ii
learn 14.a#14.b
lease 13.1.b.i#13.1.b.i#13.5.1.b.i#13.5.1.b.i
leash 9.9.ii#22.4.a#22.4.b
leave 13.3#13.3#13.4.1.a#13.4.1.b#13.5.1.a#13.5.1.a#15.2.a#51.1.a#51.1.d
leaven 9.9.ii#47.2.b
leer 30.3.a#30.3.b
legalize 45.4.a
lend 13.1.a.i#13.1.a.i
lengthen 45.4.a#45.4.b#45.4.c
lessen 45.4.a#45.4.b#45.4.c
let 13.5.1.a#019.a#29.5.a#061
letter 25.3
level 45.4.a#45.4.b#45.4.c
levitate 45.4.a#45.4.b#45.4.c
levy 008
liberate 10.5
license 29.2.a#29.2.b#29.2.c#29.2.d
lick 10.4.1.a#10.4.1.b.i#10.4.1.b.ii#10.4.1.c#20.a#39.2.a#39.2.b#39.2.c
lie 022#47.6.a#47.6.b
lift 9.4.a#10.5
light 26.3#26.3#45.4.a#45.4.b#45.4.c
lighten 45.4.a#45.4.b#45.4.c
lightning 57.a
lignify 45.4.a#45.4.b#45.4.c
like 31.2.a#31.2.b#31.2.c#31.2.g
liken 22.2.b
lilt 37.3.a#37.3.a#37.3.b#37.3.c#43.2.a#43.2.b
limit 47.8.c
limp 51.3.2.a.i#51.3.2.a.ii
line 9.8.a#9.8.b#9.8.d#47.8.f
linger 47.1#53.1
link 22.1.a#22.1.b#22.1.d#22.4.a#22.4.b
lint 10.7
lipstick 9.9.ii
liquefy 45.4.a#45.4.b#45.4.c
liquidate 42.1.c
lisp 37.3.a#37.3.a#37.3.b#37.3.c
list 29.2.c
listen 30.3.c#35.5#35.5
litigate 36.1.c
litter 9.8.a#9.8.b#9.8.e#28
live 39.6.b#46.a#47.1
load 9.7.a#9.7.d
loaf 53.1
loan 13.1.a.i#13.1.a.i
loathe 31.2.a#31.2.b#31.2.c#31.2.d#31.2.e#31.2.f
lob 17.1#17.1
locate 9.1
lock 22.4.a#22.4.b
lodge 9.1#9.10#46.b
loft 17.1#17.1
log 13.7
loiter 53.1
loll 47.6.a
lollop 51.3.2.a.i#51.3.2.a.ii
long 32.2.b
look 30.3.a#30.3.b#30.4#35.2.a#35.5#35.5
look_back 30.3.a
loom 47.1#47.6.a
loop 9.6#22.4.a#22.4.b#45.4.a#45.4.b#45.4.c
loose 45.4.a#45.4.b#45.4.c
loosen 45.4.a#45.4.b#45.4.c
loot 10.6.a
lop 10.1
lope 51.3.2.a.i#51.3.2.a.ii
lose 13.2
lounge 47.6.a
louse 10.7
love 31.2.a#31.2.b#31.2.c#31.2.g
low 38
lower 9.4.b.i#9.4.b.ii
lubricate 9.9.ii
lug 11.4.i#11.4.ii#11.4.ii
lull 31.1.a#31.1.b#31.1.c
lumber 51.3.2.a.i#51.3.2.a.ii
lump 22.3.a.ii#22.3.d.ii
lunch 39.5.a#39.5.b
luncheon 39.5.a
lurch 51.3.2.a.i#51.3.2.a.ii
lure 002
lust 32.2.a
lurk 47.1
lust 32.2.b
luxuriate 31.3.e
macadamize 45.4.a
macerate 45.4.a#45.4.b#45.4.c
madden 31.1.a#31.1.b#31.1.c#31.3.b
magnetize 45.4.a#45.4.b#45.4.c
magnify 45.4.a#45.4.b#45.4.c
mail 11.1#11.1
maim 44.a
maintain 012#29.5.a#29.5.b
major 31.3.e
make 019.b#26.1.a#26.1.a#26.1.b#29.3#070#070.1
make_out 30.2.a.ii
malfunction 29.6.b
malign 33.b
manacle 22.4.a#22.4.b
manage 005#36.1.c
maneuver 51.7.i#51.7.ii
mangle 21.2.a#21.2.b
manicure 41.2.2
manifest 48.1.2
manipulate 31.1.a
mantle 9.9.ii
manufacture 26.4
marble 9.8.b
march 51.3.2.a.i#51.3.2.a.ii#51.3.2.b.i#51.3.2.b.ii
mark 25.1.a#25.1.b#29.1.a#29.1.c#29.1.d#29.1.e
market 13.6.a
mark_again 25.1.a
marry 22.2.b#36.2.a.ii#36.2.b.ii#36.3.a
martyr 29.7
marvel 31.3.b#31.3.h
mash 21.2.a#21.2.b#21.2.c
mask 9.8.a#9.8.b
masquerade 29.6.b
mass 22.3.a.i#22.3.a.ii#22.3.d.i#22.3.d.ii#47.5.2
massacre 42.1.c
massage 26.5.b
master 29.8.b
masticate 39.2.a
masturbate 45.4.c
match 22.2.a#22.2.b
mate 22.2.a#22.2.c#36.1.c#36.1.d
materialize 48.1.1.a
matter 31.4.c
mature 26.2.a.ii#26.2.b#45.4.a#45.4.b#45.4.c
mean 005#29.5.a#29.5.b
meander 47.7.a#47.7.b#51.3.2.a.i#51.3.2.a.ii
measure 54.1.a#54.1.b
mechanize 45.4.a
meddle 36.1.c#36.1.d
mediate 36.1.c
meditate 31.3.h
meet 36.3.a#36.3.a#36.3.b#47.8.a#47.8.f
mellow 45.4.a#45.4.b#45.4.c
melt 26.5.a.ii#26.5.b#45.4.a#45.4.b#45.4.c
memorize 14.a
menace 31.1.a
mend 45.4.a
menstruate 45.4.c
mention 37.7.a#37.7.b
meow 38
merge 22.1.a#22.1.b
merit 54.2
mesmerize 31.1.a#31.1.b#31.1.c
metabolize 45.4.a
metamorphose 26.6
mew 38
miaow 38
microfilm 25.4
microwave 45.3.a#45.3.b#45.3.c
miff 31.1.a#31.1.b#31.1.c
migrate 11.2.c
milk 10.6.a#10.7
pair 22.1.a
earth 22.1.a
couple 22.1.a
coordinate 22.1.a
ally 22.1.a
alloy 22.1.a
align 22.1.a
mill 21.2.a
mince 21.2.a#21.2.b#21.2.c#51.3.2.a.i#51.3.2.a.ii
mine 000#10.9
mind 31.3.a.i
mine 35.1.a#35.1.b#35.1.b#35.1.c
mineralize 45.4.a
mingle 22.1.a#22.1.b#36.1.c#36.1.d
minister 29.6.b
mint 26.4
mirror 25.4
misappropriate 10.5
miscarry 13.2
mishandle 15.1.a
mislead 002
mismanage 36.1.c
mispronounce 37.7.b
misrepresent 29.2.c
miss 31.2.a#31.2.b#31.2.c#31.2.g#47.8.g
misspell 25.2
mist 57.a
mistake 002
mistreat 29.2.c
mitigate 31.1.a
mix 22.1.a#22.1.b#22.1.c#26.3#26.3#36.1.c#36.1.d
mizzle 57.a
moan 37.3.a#37.3.a#37.3.b#37.3.c#40.2.b#43.2.a#43.2.b#43.2.c
mobilize 45.4.a
mock 33.b
model 26.4#29.8.a#29.8.b
modem 37.4.a#37.4.a#37.4.a#37.4.a#37.4.b
moderate 45.4.a
modernize 45.4.a
modify 45.4.a
modulate 45.4.a
moisten 45.4.a#45.4.b#45.4.c
mold 26.1.a#26.1.a#26.1.b
molder 45.5
molest 31.1.a
mollify 31.1.a#31.1.b
molt 45.5
monitor 35.4
monogram 25.3
monopolize 45.4.a
moo 38
moon 31.3.a.ii#31.3.h
moor 22.3.c.ii#22.3.d.ii#22.4.a#22.4.b
mop 10.4.2.a#10.4.2.b
mope 31.3.h
moped 51.4.1.a#51.4.1.b
moroccanize 45.4.a
mortgage 13.1.a.ii
mortify 31.1.a#31.1.b#31.1.c
mosey 51.3.2.a.i#51.3.2.a.ii
mother 29.8.a#29.8.b
motion 36.1.c#36.1.d
motivate 002
motor 51.4.1.a#51.4.1.b
motorbike 51.4.1.a#51.4.1.b
motorcycle 51.4.1.a#51.4.1.b
motorize 45.4.a
mottle 9.8.a#9.8.b
moult 47.2.b
mound 9.7.a#9.7.d
mount 9.1#51.1.e
mourn 31.2.a#31.2.b#31.2.c#31.2.d#31.2.e#31.2.f#31.3.c#31.3.h
move 11.2.a#11.2.b#11.2.c#11.2.c#31.1.a#31.1.b#31.1.c
mow 21.2.a#21.2.b#21.2.c
muck_about 51.3.2.a.i#51.3.2.a.ii
muddle 22.2.a#22.2.c#31.1.a#31.1.b
muddy 45.4.a#45.4.b#45.4.c
muffle 45.4.a
mulch 9.9.ii
mulct 10.6.a#54.5.a
multiply 45.4.a#45.4.b#45.4.c
mumble 37.3.a#37.3.a#37.3.b#37.3.c
munch 39.2.a#39.2.c
murder 42.1.c
murmur 37.3.a#37.3.a#37.3.b#37.3.c#43.2.a#43.2.b
muse 31.3.h
mushroom 13.7#45.6
mutate 26.6
mute 45.4.a
mutilate 44.a
mutter 37.3.a#37.3.a#37.3.b#37.3.c
muzzle 9.9.ii#22.4.a#22.4.b
mystify 31.1.a#31.1.b
nab 10.5
nail 22.4.a#22.4.b
name 29.3
nap 40.4
narcoticize 45.4.a
narcotize 45.4.a
narrate 37.1.b#37.1.c
narrow 45.4.a#45.4.b#45.4.c
nasalize 45.4.a
nationalize 45.4.a
naturalize 45.4.a
nauseate 31.1.a#31.1.b#31.1.c
navigate 51.4.2.a.ii
neaten 45.4.a#45.4.b#45.4.c
necessitate 29.5.e
neck 36.1.c#36.1.d
need 015#002#005#29.1.a#29.1.a#29.1.b#32.1
neglect 16
negotiate 36.1.c#36.1.d
neigh 38
nest 13.7
nestle 47.6.a#47.6.b
netmail 37.4.a#37.4.a#37.4.a#37.4.a#37.4.b
nettle 31.1.a#31.1.b#31.1.c
network 22.1.a#22.1.d
neutralize 45.4.a#45.4.b#45.4.c
nibble 39.2.a#39.2.b#39.2.c
nick 21.2.a#21.2.b#40.8.3
nickel 9.9.ii
nickel-plate 9.8.b
nickname 29.3
niggle 31.4.a
nip 51.3.2.a.i#51.3.2.a.ii#51.3.2.b.i#51.3.2.b.ii
nitrify 45.4.a#45.4.b#45.4.c
nod 40.3.1.i#40.3.1.ii
